school_name,ESPN_id,link,link_name,name_mascot,mascot
Wake Forest,154,/id/154/wake-forest-demon-deacons,wake-forest-demon-deacons,Wake Forest Demon Deacons,Demon Deacons
Baylor,239,/id/239/baylor-bears,baylor-bears,Baylor Bears,Bears
Iowa State,66,/id/66/iowa-state-cyclones,iowa-state-cyclones,Iowa State Cyclones,Cyclones
Kansas,2305,/id/2305/kansas-jayhawks,kansas-jayhawks,Kansas Jayhawks,Jayhawks
Kansas State,2306,/id/2306/kansas-state-wildcats,kansas-state-wildcats,Kansas State Wildcats,Wildcats
Oklahoma,201,/id/201/oklahoma-sooners,oklahoma-sooners,Oklahoma Sooners,Sooners
Oklahoma State,197,/id/197/oklahoma-state-cowboys,oklahoma-state-cowboys,Oklahoma State Cowboys,Cowboys
TCU,2628,/id/2628/tcu-horned-frogs,tcu-horned-frogs,TCU Horned Frogs,Horned Frogs
Texas,251,/id/251/texas-longhorns,texas-longhorns,Texas Longhorns,Longhorns
Texas Tech,2641,/id/2641/texas-tech-red-raiders,texas-tech-red-raiders,Texas Tech Red Raiders,Red Raiders
West Virginia,277,/id/277/west-virginia-mountaineers,west-virginia-mountaineers,West Virginia Mountaineers,Mountaineers
Illinois,356,/id/356/illinois-fighting-illini,illinois-fighting-illini,Illinois Fighting Illini,Fighting Illini
Indiana,84,/id/84/indiana-hoosiers,indiana-hoosiers,Indiana Hoosiers,Hoosiers
Iowa,2294,/id/2294/iowa-hawkeyes,iowa-hawkeyes,Iowa Hawkeyes,Hawkeyes
Maryland,120,/id/120/maryland-terrapins,maryland-terrapins,Maryland Terrapins,Terrapins
Michigan,130,/id/130/michigan-wolverines,michigan-wolverines,Michigan Wolverines,Wolverines
Michigan State,127,/id/127/michigan-state-spartans,michigan-state-spartans,Michigan State Spartans,Spartans
